Odkaz,Zápas,Domácí,Hosté,SkóreFT,SkóreHT,Diváků
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1508_Zapis.html,A1A1508,Sparta Praha,Dukla Praha,0:0,0:0,7454
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1601_Zapis.html,A1A1601,Jablonec,Sparta Praha,2:4,2:2,5085
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1602_Zapis.html,A1A1602,České Budějovice,Dukla Praha,3:2,2:0,2343
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1603_Zapis.html,A1A1603,Baník Ostrava,Sigma Olomouc,0:0,0:0,4035
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1604_Zapis.html,A1A1604,Slovácko,Mladá Boleslav,1:0,1:0,4055
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1605_Zapis.html,A1A1605,Viktoria Plzeň,Bohemians 1905,4:1,3:1,6090
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1606_Zapis.html,A1A1606,Hradec Králové,Teplice,3:2,1:1,2890
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1607_Zapis.html,A1A1607,Slavia Praha,Slovan Liberec,1:3,0:2,4851
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1608_Zapis.html,A1A1608,Viktoria Žižkov,Příbram,1:2,0:0,1948
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1701_Zapis.html,A1A1701,Bohemians 1905,Jablonec,1:2,0:1,2199
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1702_Zapis.html,A1A1702,Dukla Praha,Viktoria Žižkov,3:0,3:0,1254
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1703_Zapis.html,A1A1703,Slovan Liberec,Hradec Králové,3:1,1:0,3897
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1704_Zapis.html,A1A1704,Příbram,Slavia Praha,0:0,0:0,3336
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1705_Zapis.html,A1A1705,Teplice,Viktoria Plzeň,3:4,1:1,3350
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1706_Zapis.html,A1A1706,Mladá Boleslav,Baník Ostrava,2:1,2:0,3850
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1707_Zapis.html,A1A1707,Sigma Olomouc,České Budějovice,0:0,0:0,5677
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1708_Zapis.html,A1A1708,Sparta Praha,Slovácko,1:0,1:0,8362
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1801_Zapis.html,A1A1801,České Budějovice,Bohemians 1905,3:1,2:0,3682
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1802_Zapis.html,A1A1802,Baník Ostrava,Jablonec,2:2,2:1,7102
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1803_Zapis.html,A1A1803,Slovácko,Sigma Olomouc,0:1,0:0,5035
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1804_Zapis.html,A1A1804,Viktoria Plzeň,Dukla Praha,1:1,1:0,6441
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1805_Zapis.html,A1A1805,Hradec Králové,Sparta Praha,1:0,0:0,6300
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1806_Zapis.html,A1A1806,Slavia Praha,Teplice,0:0,0:0,4476
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1807_Zapis.html,A1A1807,Viktoria Žižkov,Mladá Boleslav,1:2,1:1,1856
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1808_Zapis.html,A1A1808,Slovan Liberec,Příbram,2:0,2:0,3965
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1901_Zapis.html,A1A1901,Bohemians 1905,Baník Ostrava,0:1,0:1,3254
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1902_Zapis.html,A1A1902,Dukla Praha,Slovácko,2:0,1:0,1870
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1903_Zapis.html,A1A1903,Jablonec,České Budějovice,1:1,1:1,2865
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1904_Zapis.html,A1A1904,Příbram,Hradec Králové,0:0,0:0,2257
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1905_Zapis.html,A1A1905,Teplice,Slovan Liberec,1:0,0:0,3051
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1906_Zapis.html,A1A1906,Mladá Boleslav,Slavia Praha,3:2,2:1,4350
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1907_Zapis.html,A1A1907,Sigma Olomouc,Viktoria Žižkov,2:1,0:0,5547
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1908_Zapis.html,A1A1908,Sparta Praha,Viktoria Plzeň,1:3,1:2,17895
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2001_Zapis.html,A1A2001,Baník Ostrava,České Budějovice,1:1,0:0,8248
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2002_Zapis.html,A1A2002,Slovácko,Bohemians 1905,3:2,1:1,4876
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2003_Zapis.html,A1A2003,Viktoria Plzeň,Sigma Olomouc,0:4,0:0,7566
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2004_Zapis.html,A1A2004,Hradec Králové,Dukla Praha,0:2,0:0,3799
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2005_Zapis.html,A1A2005,Slavia Praha,Jablonec,0:0,0:0,4867
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2006_Zapis.html,A1A2006,Viktoria Žižkov,Sparta Praha,0:2,0:1,4218
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2007_Zapis.html,A1A2007,Slovan Liberec,Mladá Boleslav,2:1,0:1,4358
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2008_Zapis.html,A1A2008,Příbram,Teplice,0:0,0:0,2168
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2101_Zapis.html,A1A2101,Bohemians 1905,Hradec Králové,0:0,0:0,2542
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2102_Zapis.html,A1A2102,Dukla Praha,Slavia Praha,0:0,0:0,4258
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2103_Zapis.html,A1A2103,Jablonec,Viktoria Plzeň,0:2,0:2,4120
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2104_Zapis.html,A1A2104,České Budějovice,Slovácko,2:2,1:0,3621
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2105_Zapis.html,A1A2105,Teplice,Viktoria Žižkov,0:0,0:0,3470
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2106_Zapis.html,A1A2106,Mladá Boleslav,Příbram,2:2,0:1,4483
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2107_Zapis.html,A1A2107,Sigma Olomouc,Slovan Liberec,2:4,1:0,6828
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2108_Zapis.html,A1A2108,Sparta Praha,Baník Ostrava,2:0,0:0,12618
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2201_Zapis.html,A1A2201,Slovácko,Baník Ostrava,1:0,0:0,6355
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2202_Zapis.html,A1A2202,Viktoria Plzeň,České Budějovice,4:0,2:0,6751
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2203_Zapis.html,A1A2203,Hradec Králové,Mladá Boleslav,2:0,1:0,3982
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2204_Zapis.html,A1A2204,Slavia Praha,Sparta Praha,1:1,1:0,16516
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2205_Zapis.html,A1A2205,Viktoria Žižkov,Jablonec,4:2,3:1,1342
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2206_Zapis.html,A1A2206,Slovan Liberec,Bohemians 1905,3:0,1:0,5508
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2207_Zapis.html,A1A2207,Příbram,Dukla Praha,2:2,2:1,1868
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2208_Zapis.html,A1A2208,Teplice,Sigma Olomouc,3:1,0:1,4280
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2301_Zapis.html,A1A2301,Bohemians 1905,Viktoria Žižkov,1:2,1:0,2558
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2302_Zapis.html,A1A2302,Dukla Praha,Slovan Liberec,1:2,0:1,1683
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2303_Zapis.html,A1A2303,Jablonec,Slovácko,1:0,0:0,2145
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2304_Zapis.html,A1A2304,České Budějovice,Hradec Králové,1:0,0:0,2614
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2305_Zapis.html,A1A2305,Baník Ostrava,Viktoria Plzeň,2:3,0:2,7234
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2306_Zapis.html,A1A2306,Mladá Boleslav,Teplice,0:1,0:1,3021
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2307_Zapis.html,A1A2307,Sigma Olomouc,Slavia Praha,1:0,1:0,5283
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2308_Zapis.html,A1A2308,Sparta Praha,Příbram,0:2,0:1,8106
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2401_Zapis.html,A1A2401,Dukla Praha,Bohemians 1905,2:0,1:0,2857
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2402_Zapis.html,A1A2402,Viktoria Plzeň,Slovácko,1:0,1:0,9086
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2403_Zapis.html,A1A2403,Hradec Králové,Baník Ostrava,0:1,0:1,3912
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2404_Zapis.html,A1A2404,Slavia Praha,Viktoria Žižkov,2:0,0:0,3986
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2405_Zapis.html,A1A2405,Slovan Liberec,Sparta Praha,1:3,0:1,10000
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2406_Zapis.html,A1A2406,Příbram,Jablonec,4:3,2:1,2168
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2407_Zapis.html,A1A2407,Teplice,České Budějovice,0:1,0:1,3012
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2408_Zapis.html,A1A2408,Mladá Boleslav,Sigma Olomouc,2:3,1:1,1530
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2501_Zapis.html,A1A2501,Bohemians 1905,Mladá Boleslav,0:3,0:1,1980
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2502_Zapis.html,A1A2502,Jablonec,Dukla Praha,0:2,0:1,2085
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2503_Zapis.html,A1A2503,České Budějovice,Slavia Praha,1:0,0:0,3698
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2504_Zapis.html,A1A2504,Baník Ostrava,Slovan Liberec,1:3,1:2,4387
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2505_Zapis.html,A1A2505,Slovácko,Hradec Králové,0:3,0:1,4817
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2506_Zapis.html,A1A2506,Viktoria Žižkov,Viktoria Plzeň,0:0,0:0,1952
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2507_Zapis.html,A1A2507,Sigma Olomouc,Příbram,4:4,2:3,4322
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2508_Zapis.html,A1A2508,Sparta Praha,Teplice,2:2,0:1,9153
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2601_Zapis.html,A1A2601,Dukla Praha,Baník Ostrava,4:1,3:0,2497
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2602_Zapis.html,A1A2602,Hradec Králové,Viktoria Plzeň,0:1,0:1,5495
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2603_Zapis.html,A1A2603,Slavia Praha,Slovácko,0:1,0:1,4622
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2604_Zapis.html,A1A2604,Slovan Liberec,Viktoria Žižkov,4:0,0:0,5235
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2605_Zapis.html,A1A2605,Příbram,České Budějovice,1:2,0:1,3876
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2606_Zapis.html,A1A2606,Teplice,Jablonec,3:2,2:1,2589
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2607_Zapis.html,A1A2607,Mladá Boleslav,Sparta Praha,2:0,0:0,4596
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2608_Zapis.html,A1A2608,Sigma Olomouc,Bohemians 1905,4:0,3:0,5006
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2701_Zapis.html,A1A2701,Bohemians 1905,Příbram,2:0,2:0,2258
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2702_Zapis.html,A1A2702,Dukla Praha,Mladá Boleslav,1:2,0:2,2347
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2703_Zapis.html,A1A2703,Jablonec,Hradec Králové,2:0,1:0,2865
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2704_Zapis.html,A1A2704,České Budějovice,Slovan Liberec,0:4,0:1,3337
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2705_Zapis.html,A1A2705,Baník Ostrava,Viktoria Žižkov,3:1,1:0,11113
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2706_Zapis.html,A1A2706,Slovácko,Teplice,0:0,0:0,4457
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2707_Zapis.html,A1A2707,Viktoria Plzeň,Slavia Praha,3:0,3:0,11412
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2708_Zapis.html,A1A2708,Sparta Praha,Sigma Olomouc,1:0,1:0,7228
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2801_Zapis.html,A1A2801,Slavia Praha,Hradec Králové,5:0,3:0,4474
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2802_Zapis.html,A1A2802,Viktoria Žižkov,České Budějovice,2:0,1:0,1128
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2803_Zapis.html,A1A2803,Slovan Liberec,Slovácko,0:0,0:0,7250
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2804_Zapis.html,A1A2804,Příbram,Baník Ostrava,1:2,1:1,2867
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2805_Zapis.html,A1A2805,Teplice,Dukla Praha,4:0,3:0,2980
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2806_Zapis.html,A1A2806,Mladá Boleslav,Viktoria Plzeň,0:1,0:0,3854
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2807_Zapis.html,A1A2807,Sigma Olomouc,Jablonec,1:1,0:0,5575
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2808_Zapis.html,A1A2808,Sparta Praha,Bohemians 1905,1:0,0:0,8934
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2901_Zapis.html,A1A2901,Bohemians 1905,Teplice,0:0,0:0,1930
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2902_Zapis.html,A1A2902,Dukla Praha,Sparta Praha,1:1,0:0,4590
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2903_Zapis.html,A1A2903,Jablonec,Slovan Liberec,0:2,0:0,6040
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2904_Zapis.html,A1A2904,České Budějovice,Mladá Boleslav,1:0,0:0,2502
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2905_Zapis.html,A1A2905,Baník Ostrava,Slavia Praha,3:0,2:0,13127
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2906_Zapis.html,A1A2906,Slovácko,Viktoria Žižkov,2:1,1:1,6895
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2907_Zapis.html,A1A2907,Viktoria Plzeň,Příbram,5:0,3:0,11142
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2908_Zapis.html,A1A2908,Hradec Králové,Sigma Olomouc,1:2,0:1,4102
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3001_Zapis.html,A1A3001,Slavia Praha,Bohemians 1905,3:1,0:0,4989
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3002_Zapis.html,A1A3002,Viktoria Žižkov,Hradec Králové,1:1,0:0,890
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3003_Zapis.html,A1A3003,Slovan Liberec,Viktoria Plzeň,0:0,0:0,9900
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3004_Zapis.html,A1A3004,Příbram,Slovácko,0:4,0:1,1128
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3005_Zapis.html,A1A3005,Teplice,Baník Ostrava,1:1,0:0,2890
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3006_Zapis.html,A1A3006,Mladá Boleslav,Jablonec,3:0,2:0,2014
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3007_Zapis.html,A1A3007,Sigma Olomouc,Dukla Praha,2:1,1:1,4153
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A3008_Zapis.html,A1A3008,Sparta Praha,České Budějovice,3:0,2:0,6157
